Name,ID
Adeno-associated virus - 1,NC_002077
Adeno-associated virus - 3,NC_001729
Adeno-associated virus - 4,NC_001829
Adeno-associated virus - 7,NC_006260
Adeno-associated virus - 8,NC_006261
adeno-associated virus 2,NC_001401
Adeno-associated virus,NC_040671
Adult diarrheal rotavirus strain J19,NC_007558
Adult diarrheal rotavirus strain J19,NC_007557
Adult diarrheal rotavirus strain J19,NC_007553
Adult diarrheal rotavirus strain J19,NC_007554
Adult diarrheal rotavirus strain J19,NC_007548
Adult diarrheal rotavirus strain J19,NC_007556
Adult diarrheal rotavirus strain J19,NC_007549
Adult diarrheal rotavirus strain J19,NC_007550
Adult diarrheal rotavirus strain J19,NC_007551
Adult diarrheal rotavirus strain J19,NC_007552
Adult diarrheal rotavirus strain J19,NC_007555
African green monkey simian foamy virus,NC_010820
Aichi virus 1,NC_001918
Aichivirus B,NC_004421
Akhmeta virus,NC_055230
Alenquer virus,NC_055331
Alenquer virus,NC_055330
Alenquer virus,NC_055332
Alphapapillomavirus 3,NC_001694
Alphapapillomavirus 4,NC_001352
Alphapapillomavirus 7,NC_001357
Andes orthohantavirus,NC_003466
Andes orthohantavirus,NC_003468
Andes orthohantavirus,NC_003467
Argentinian mammarenavirus,NC_005080
Argentinian mammarenavirus,NC_005081
Aroa virus,NC_009026
Astrovirus MLB1,NC_011400
Astrovirus MLB2,NC_016155
Astrovirus MLB3,NC_019028
Astrovirus VA1,NC_013060
Astrovirus VA3,NC_019026
Astrovirus VA4,NC_019027
Avian gyrovirus 2,NC_015396
Baboon endogenous virus strain M7,NC_022517
Banna virus strain JKT-6423,NC_004201
Banna virus strain JKT-6423,NC_004219
Banna virus strain JKT-6423,NC_004220
Banna virus strain JKT-6423,NC_004211
Banna virus strain JKT-6423,NC_004218
Banna virus strain JKT-6423,NC_004217
Banna virus strain JKT-6423,NC_004221
Banna virus strain JKT-6423,NC_004198
Banna virus strain JKT-6423,NC_004204
Banna virus strain JKT-6423,NC_004202
Banna virus strain JKT-6423,NC_004203
Banna virus strain JKT-6423,NC_004200
Banzi virus,NC_043110
Barmah Forest virus,NC_001786
Bastrovirus 7,NC_035758
Batai virus,NC_043581
Batai virus,NC_043579
Batai virus,NC_043580
Bayou orthohantavirus,NC_038298
Bayou orthohantavirus,NC_038299
Bayou orthohantavirus,NC_038300
Betacoronavirus England 1,NC_038294
Betapolyomavirus hominis,NC_001538
Betapolyomavirus macacae,NC_001669
Betapolyomavirus tertihominis,NC_009238
Bhanja virus,NC_027142
Bhanja virus,NC_027141
Bhanja virus,NC_027140
Bocavirus gorilla/GBoV1/2009,NC_014358
Borna disease virus 1,NC_001607
Borna disease virus 2,NC_030692
Bovine coronavirus,NC_003045
Bovine leukemia virus,NC_001414
Bovine papular stomatitis virus,NC_005337
Bovine viral diarrhea virus 1,NC_001461
Bovine viral diarrhea virus 2,NC_039237
Breda virus,NC_007447
Bufavirus-3,NC_024888
Bundibugyo ebolavirus,NC_014373
Bunyamwera virus,NC_001926
Bunyamwera virus,NC_001925
Bunyamwera virus,NC_001927
Bwamba orthobunyavirus,NC_034480
Bwamba orthobunyavirus,NC_034479
Bwamba orthobunyavirus,NC_034490
Cache Valley virus,NC_043620
Cache Valley virus,NC_043619
Cache Valley virus,NC_043618
California sea lion astrovirus 2,NC_034975
Camel alphacoronavirus,NC_028752
Camelpox virus,NC_003391
Cangyuan orthoreovirus,NC_025806
Cangyuan orthoreovirus,NC_025808
Cangyuan orthoreovirus,NC_025801
Cangyuan orthoreovirus,NC_025809
Cangyuan orthoreovirus,NC_025802
Cangyuan orthoreovirus,NC_025805
Cangyuan orthoreovirus,NC_025803
Cangyuan orthoreovirus,NC_025804
Cangyuan orthoreovirus,NC_025810
Cangyuan orthoreovirus,NC_025807
Caraparu virus,NC_034478
Caraparu virus,NC_034477
Caraparu virus,NC_034489
Catu virus,NC_038726
Catu virus,NC_038727
Catu virus,NC_038728
Central cimpanzee simian foamy virus,NC_039024
Cercopithecine betaherpesvirus 5,NC_012783
Chagres virus,NC_055328
Chagres virus,NC_055327
Chagres virus,NC_055329
Chandipura virus,NC_020805
Chandiru virus,NC_015375
Chandiru virus,NC_015373
Chandiru virus,NC_015374
Chapare mammarenavirus,NC_010562
Chapare mammarenavirus,NC_010563
Chicken anemia virus,NC_001427
Chikungunya virus,NC_004162
Chimpanzee adenovirus Y25,NC_017825
Choclo virus,NC_038373
Choclo virus,NC_038374
Circo-like virus-Brazil hs1,NC_023888
Circular ssDNA virus sp.,NC_030449
Colobus guereza papillomavirus 2,NC_015692
Colorado tick fever virus,NC_004181
Colorado tick fever virus,NC_004182
Colorado tick fever virus,NC_004186
Colorado tick fever virus,NC_004183
Colorado tick fever virus,NC_004187
Colorado tick fever virus,NC_004184
Colorado tick fever virus,NC_004191
Colorado tick fever virus,NC_004188
Colorado tick fever virus,NC_004189
Colorado tick fever virus,NC_004190
Colorado tick fever virus,NC_004185
Colorado tick fever virus,NC_004180
Cosavirus A,NC_012800
Cosavirus D,NC_012802
Cosavirus E,NC_012798
Cosavirus F,NC_034385
Cosavirus JMY-2014,NC_025961
Cowden I virus,NC_000940
Cowpox virus,NC_003663
Coxsackievirus A2,NC_038306
Coxsackievirus B3,NC_038307
Crimean-Congo hemorrhagic fever orthonairovirus,NC_005301
Crimean-Congo hemorrhagic fever orthonairovirus,NC_005302
Crimean-Congo hemorrhagic fever orthonairovirus,NC_005300
Cutavirus,NC_039050
Cyclovirus NG12,NC_038416
Cyclovirus NG14,NC_038417
Cyclovirus PK5006,NC_036877
Cyclovirus PK5034,NC_038415
Cyclovirus PK5222,NC_038413
Cyclovirus PK5510,NC_038412
Cyclovirus SL-108277,NC_038418
Cyclovirus TN25,NC_038414
Cyclovirus VN,NC_039215
Dengue virus 1,NC_001477
Dengue virus 2,NC_001474
Dengue virus 3,NC_001475
Dengue virus 4,NC_002640
Dobrava-Belgrade orthohantavirus,NC_005235
Dobrava-Belgrade orthohantavirus,NC_005234
Dobrava-Belgrade orthohantavirus,NC_005233
Duck coronavirus,NC_048214
Dugbe orthonairovirus,NC_004159
Dugbe orthonairovirus,NC_004157
Dugbe orthonairovirus,NC_004158
Eastern chimpanzee simian foamy virus,NC_039025
Eastern equine encephalitis virus,NC_003899
Echarate virus,NC_055340
Echarate virus,NC_055339
Echarate virus,NC_055341
Ectromelia virus,NC_004105
Ekpoma virus 1,NC_038282
Ekpoma virus 2,NC_038283
Encephalomyocarditis virus,NC_001479
Enterovirus A,NC_001612
enterovirus A114,NC_030454
Enterovirus B,NC_001472
Enterovirus C,NC_002058
Enterovirus D,NC_001430
enterovirus D68,NC_038308
Enterovirus sp.,NC_024073
European bat 1 lyssavirus,NC_009527
European bat 2 lyssavirus,NC_009528
Fort Sherman virus,NC_043616
Fort Sherman virus,NC_043615
Fort Sherman virus,NC_043617
Fowlpox virus,NC_002188
Friend murine leukemia virus,NC_001362
Gammapapillomavirus sp.,NC_040550
Gammapapillomavirus sp.,NC_040619
Gammapapillomavirus sp.,NC_040620
Gammapapillomavirus sp.,NC_040688
Gammapapillomavirus sp.,NC_040691
Gammapapillomavirus sp.,NC_040803
Gammapapillomavirus sp.,NC_040804
Gammapapillomavirus sp.,NC_040805
Gammapapillomavirus sp.,NC_040806
GB virus C,NC_001710
GB virus-B,NC_001655
Gemycircularvirus C1c,NC_038496
Gemycircularvirus HV-GcV1,NC_030447
Gemycircularvirus HV-GcV2,NC_030448
Gemycircularvirus SL1,NC_026818
Gemycircularvirus sp.,NC_040379
Getah virus,NC_006558
Gibbon ape leukemia virus,NC_001885
Great Island virus,NC_014522
Great Island virus,NC_014525
Great Island virus,NC_014526
Great Island virus,NC_014528
Great Island virus,NC_014529
Great Island virus,NC_014530
Great Island virus,NC_014531
Great Island virus,NC_014524
Great Island virus,NC_014527
Great Island virus,NC_014523
Guanarito mammarenavirus,NC_005082
Guanarito mammarenavirus,NC_005077
Guaroa virus,NC_034486
Guaroa virus,NC_034506
Guaroa virus,NC_034487
Guenon simian foamy virus,NC_043445
Gyrovirus 4,NC_018401
Gyrovirus GyV3,NC_017091
Gyrovirus Tu243,NC_022788
Gyrovirus Tu789,NC_022789
Hantaan orthohantavirus,NC_005219
Hantaan orthohantavirus,NC_005222
Hantaan orthohantavirus,NC_005218
Hantavirus Z10,NC_006433
Hantavirus Z10,NC_006437
Hantavirus Z10,NC_006435
Heartland virus,NC_024496
Heartland virus,NC_024494
Heartland virus,NC_024495
Hendra henipavirus,NC_001906
Hepacivirus B,NC_038426
Hepatitis B virus,NC_003977
Hepatitis C virus (isolate H77),NC_038882
Hepatitis C virus genotype 1,NC_004102
Hepatitis C virus genotype 2,NC_009823
Hepatitis C virus genotype 3,NC_009824
Hepatitis C virus genotype 4,NC_009825
Hepatitis C virus genotype 5,NC_009826
Hepatitis C virus genotype 6,NC_009827
Hepatitis C virus genotype 7,NC_030791
Hepatitis delta virus,NC_001653
Hepatitis E virus rat/R63/DEU/2009,NC_038504
Hepatovirus A,NC_001489
Heron hepatitis B virus,NC_001486
HMO Astrovirus A,NC_013443
Hudisavirus sp.,NC_035475
Human adenovirus 1,AC_000017
Human adenovirus 2,AC_000007
Human adenovirus 35,AC_000019
Human adenovirus 5,AC_000008
Human adenovirus 54,NC_012959
Human adenovirus 7,AC_000018
Human alphaherpesvirus 1,NC_001806
Human alphaherpesvirus 2,NC_001798
